項目,成功,活動,有圖有真相
001,No,在海中裸泳,
002,No,睇極光,
003,No,幫你做腳底按摩,
004,No,大帽山山頂睇日出,
005,No,過一個白色聖誕,
006,No,成日咩都唔做一口氣煲一套劇,
014,No,睇烟花,
008,No,食米芝連餐廳,
009,No,係公園搭營瞓晏覺,
010,No,照顧生病的你,
011,No,去慈山寺寫心經,
020,No,同米奇老鼠映相,
013,No,同海豚一齊游泳,
007,No,幫我打領呔,
015,Yes,出海睇海豚,
016,No,去林村許願樹許願,
017,No,參加兩個仔嘅大學畢業典禮,
018,No,看流星,
028,No,去灣仔海旁撐船,
022,No,搭渡海小輪過海,
012,No,搵100個人同你講生日快樂,
021,No,赤腳行沙灘,
023,No,參觀大英博物館,
024,No,踩雙人單車,
025,No,落大雨共用一把遮,
026,No,去郊野公園烤肉,
027,No,去魚排釣魚,
019,No,幫你剪腳甲,
029,Yes,講鬼故氹你瞓,
030,No,中秋節點有蠟燭既燈籠出街,
031,No,著情侶裝出街,
032,No,去魚排釣魚,
033,No,大家用一條頸巾,
034,No,去巴厘岛再度蜜月,
035,No,翻看之前寫比大家的情信,
036,No,瞓係床上食早餐,
037,No,食雞泡魚,
038,No,幫我打領呔,
039,No,坐摩天輪,
040,No,幫我剃光頭,
041,No,唱一首情歌比你聽,
042,No,一齊浸露天溫泉,
043,No,踩單車由上水去元朗,
044,Yes,去睇螢火蟲,
045,No,電話 lock screen set 對方既相片,
046,No,去瑞士旅行,
047,No,去聽音樂會,
048,No,幫對方染髮,
049,No,食一樣從來未食過既地方菜,
050,No,摘士多啤梨,
100,No,執子之手 與子偕老,